2014-07-29 14:29:29,241 [22] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
2014-07-29 14:59:12,010 [23] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 15:00:19,332 [10] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2014-07-29 15:01:21,957 [10] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2014-07-29 15:48:18,495 [7] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 16:00:28,626 [5] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 16:04:19,984 [23] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 16:07:52,291 [25] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: App_Code.vpykyu0n | Message: Object reference not set to an instance of an object. 
2014-07-29 16:45:08,899 [110] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
2014-07-29 16:48:18,490 [105] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
2014-07-29 16:48:22,810 [110] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 16:48:49,496 [5] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 16:50:53,172 [9] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
2014-07-29 16:58:54,875 [5] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
